calories,method,weight_lost
2027,diet,4.29
2473,both,7.985
2458,diet,4.65
2359,exercise,4.42
2475,both,8.9
2465,diet,3.765
3615,exercise,4.36
2785,exercise,5.605
1819,both,8.09
2598,diet,4.035
2504,diet,4.74
2661,exercise,5.65
2054,both,8.87
3116,both,7.49
2939,diet,4.125
2312,both,8.135
1822,diet,5.775
2698,exercise,4.195
1867,exercise,5.275
1891,exercise,6.175
2673,diet,3.75
2699,exercise,5.155
2049,exercise,5.635
1900,exercise,6.16
3352,both,6.275
2972,both,7.07
2441,exercise,5.56
1874,both,8.975
2554,both,8.855
2797,both,7.34
2742,exercise,4.585
1880,diet,4.98
2362,exercise,5.065
2700,both,6.575
2485,both,7.31
2287,exercise,5.635
2396,both,9.59
2633,exercise,5.215
2021,both,8.36
2054,both,6.935
2337,exercise,6.37
2454,both,6.875
1939,both,8.51
2229,exercise,6.505
2669,exercise,5.47
2748,diet,1.965
1445,exercise,7.57
2930,exercise,4.435
1715,diet,3.93
2640,exercise,5.08
2538,diet,3.015
2476,diet,4.86
1581,exercise,5.875
3205,diet,2.88
2228,diet,3.825
2657,exercise,6.97
2626,both,7.175
2817,exercise,4.825
2571,exercise,6.43
2196,diet,3.6
2609,diet,3.345
2850,both,7.31
3320,exercise,2.68
2365,diet,2.775
2395,exercise,4.72
2806,diet,2.565
2459,diet,3.36
2757,diet,5.16
2590,exercise,5.005
2556,exercise,6.295
2080,exercise,7.135
2741,both,7.61
1978,diet,4.635
3115,both,6.605
1986,diet,2.97
3107,exercise,4.525
3658,exercise,4.75
