PRICE,CRIME,ZONE,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,BLACK,LSTAT
20,0.09744,0,5.96,0.499,5.841,61.4,3.3779,5,279,19.2,37.756,11.41
22.2,0.1029,30,4.93,0.428,6.358,52.9,7.0355,6,300,16.6,37.275,11.22
10.4,25.9406,0,18.1,0.679,5.304,89.1,1.6475,24,666,20.2,12.736,26.64
28,0.04113,25,4.86,0.426,6.727,33.5,5.4007,4,281,19,39.69,5.29
28.7,0.07013,0,13.89,0.55,6.642,85.1,3.4211,5,276,16.4,39.278,9.69
32.7,0.01301,35,1.52,0.442,7.241,49.3,7.0379,1,284,15.5,39.474,5.49
21.7,0.40771,0,6.2,0.507,6.164,91.3,3.048,8,307,17.4,39.524,21.46
15.1,6.96215,0,18.1,0.7,5.713,97,1.9265,24,666,20.2,39.443,17.11
13.8,18.4982,0,18.1,0.668,4.138,100,1.137,24,666,20.2,39.69,37.97
14.4,0.25387,0,6.91,0.448,5.399,95.3,5.87,3,233,17.9,39.69,30.81
21,1.00245,0,8.14,0.538,6.674,87.3,4.239,4,307,21,38.023,11.98
20.3,0.3494,0,9.9,0.544,5.972,76.7,3.1025,4,304,18.4,39.624,9.97
27.9,11.9511,0,18.1,0.659,5.608,100,1.2852,24,666,20.2,33.209,12.13
17.6,0.20608,22,5.86,0.431,5.593,76.5,7.9549,7,330,19.1,37.249,12.5
14.1,9.32909,0,18.1,0.713,6.185,98.7,2.2616,24,666,20.2,39.69,18.13
20.1,13.0751,0,18.1,0.58,5.713,56.7,2.8237,24,666,20.2,39.69,14.76
23.9,0.08265,0,13.92,0.437,6.127,18.4,5.5027,4,289,16,39.69,8.58
15.6,0.97617,0,21.89,0.624,5.757,98.4,2.346,4,437,21.2,26.276,17.31
26.2,0.19073,22,5.86,0.431,6.718,17.5,7.8265,7,330,19.1,39.374,6.56
22,0.03932,0,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,39.355,8.2
13.8,8.05579,0,18.1,0.584,5.427,95.4,2.4298,24,666,20.2,35.258,18.14
10.2,12.2472,0,18.1,0.584,5.837,59.7,1.9976,24,666,20.2,2.465,15.69
20.5,0.19657,22,5.86,0.431,6.226,79.2,8.0555,7,330,19.1,37.614,10.15
26.6,0.12744,0,6.91,0.448,6.77,2.9,5.7209,3,233,17.9,38.541,4.84
