team,points,yards,plays,turnovers,penalties
Kansas City Chiefs,496,7032,1094,23,87
Philadelphia Eagles,477,6614,1124,19,90
Dallas Cowboys,467,6034,1114,23,104
Buffalo Bills,455,6361,1037,27,92
Detroit Lions,453,6460,1092,15,90
San Francisco 49ers,450,6216,1047,17,94
Minnesota Vikings,424,6145,1123,23,88
Cincinnati Bengals,418,5768,1053,18,81
Seattle Seahawks,407,5976,1044,23,106
Jacksonville Jaguars,404,6075,1072,22,90
Miami Dolphins,397,6197,1009,21,111
Las Vegas Raiders,395,5993,1049,21,113
Los Angeles Chargers,391,6108,1154,19,81
Green Bay Packers,370,5745,1051,22,89
Atlanta Falcons,365,5417,1011,21,68
New York Giants,365,5676,1089,16,106
New England Patriots,364,5348,1006,23,104
Cleveland Browns,361,5934,1116,21,102
Baltimore Ravens,350,5760,1052,21,82
Carolina Panthers,347,5206,976,21,104
Arizona Cardinals,340,5499,1144,25,118
New Orleans Saints,330,5674,1015,25,99
Chicago Bears,326,5233,993,25,80
Washington Commanders,321,5615,1140,23,92
Tampa Bay Buccaneers,313,5894,1159,22,99
Pittsburgh Steelers,308,5484,1109,19,94
Los Angeles Rams,307,4769,1001,23,76
Tennessee Titans,298,5045,992,23,111
New York Jets,296,5409,1074,23,91
Houston Texans,289,4820,1015,28,88
Indianapolis Colts,289,5298,1103,34,89
Denver Broncos,287,5527,1078,24,113
