month,day,year,home_team,away_team,home_score,away_score
10,18,2022,Golden State Warriors,Los Angeles Lakers,123,109
10,18,2022,Boston Celtics,Philadelphia 76ers,126,117
10,19,2022,San Antonio Spurs,Charlotte Hornets,102,129
10,19,2022,Miami Heat,Chicago Bulls,108,116
10,19,2022,Toronto Raptors,Cleveland Cavaliers,108,105
10,19,2022,Phoenix Suns,Dallas Mavericks,107,105
10,19,2022,Utah Jazz,Denver Nuggets,123,102
10,19,2022,Atlanta Hawks,Houston Rockets,117,107
10,19,2022,Brooklyn Nets,New Orleans Pelicans,108,130
10,19,2022,Memphis Grizzlies,New York Knicks,115,112
10,19,2022,Minnesota Timberwolves,Oklahoma City Thunder,115,108
10,19,2022,Detroit Pistons,Orlando Magic,113,109
10,19,2022,Sacramento Kings,Portland Trailblazers,108,115
10,19,2022,Indiana Pacers,Washington Wizards,107,114
10,20,2022,Los Angeles Lakers,Los Angeles Clippers,97,103
10,20,2022,Philadelphia 76ers,Milwaukee Bucks,88,90
10,21,2022,Miami Heat,Boston Celtics,104,111
10,21,2022,Washington Wizards,Chicago Bulls,102,100
10,21,2022,Golden State Warriors,Denver Nuggets,123,128
10,21,2022,New York Knicks,Detroit Pistons,130,106
10,21,2022,Houston Rockets,Memphis Grizzlies,122,129
10,21,2022,Charlotte Hornets,New Orleans Pelicans,112,124
10,21,2022,Atlanta Hawks,Orlando Magic,108,98
10,21,2022,Portland Trailblazers,Phoenix Suns,113,111
10,21,2022,Indiana Pacers,San Antonio Spurs,134,137
10,21,2022,Brooklyn Nets,Toronto Raptors,109,105
10,21,2022,Minnesota Timberwolves,Utah Jazz,126,132
10,22,2022,Orlando Magic,Boston Celtics,120,126
10,22,2022,Chicago Bulls,Cleveland Cavaliers,96,128
10,22,2022,Indiana Pacers,Detroit Pistons,124,115
10,22,2022,Milwaukee Bucks,Houston Rockets,125,105
10,22,2022,Sacramento Kings,Los Angeles Clippers,109,111
10,22,2022,Dallas Mavericks,Memphis Grizzlies,137,96
10,22,2022,Denver Nuggets,Oklahoma City Thunder,122,117
10,22,2022,Philadelphia 76ers,San Antonio Spurs,105,114
10,22,2022,Miami Heat,Toronto Raptors,112,109
10,23,2022,Atlanta Hawks,Charlotte Hornets,109,126
10,23,2022,Oklahoma City Thunder,Minnesota Timberwolves,106,116
10,23,2022,Los Angeles Clippers,Phoenix Suns,95,112
10,23,2022,Los Angeles Lakers,Portland Trailblazers,104,106
10,23,2022,Golden State Warriors,Sacramento Kings,130,125
10,23,2022,New Orleans Pelicans,Utah Jazz,121,122
10,23,2022,Cleveland Cavaliers,Washington Wizards,117,107
10,24,2022,Memphis Grizzlies,Brooklyn Nets,134,124
10,24,2022,Chicago Bulls,Boston Celtics,120,102
10,24,2022,Portland Trailblazers,Denver Nuggets,135,110
10,24,2022,Philadelphia 76ers,Indiana Pacers,120,106
10,24,2022,New York Knicks,Orlando Magic,115,102
10,24,2022,Minnesota Timberwolves,San Antonio Spurs,106,115
10,24,2022,Miami Heat,Toronto Raptors,90,98
10,24,2022,Houston Rockets,Utah Jazz,114,108
10,25,2022,New Orleans Pelicans,Dallas Mavericks,113,111
10,25,2022,Washington Wizards,Detroit Pistons,120,99
10,25,2022,Phoenix Suns,Golden State Warriors,134,105
10,25,2022,Oklahoma City Thunder,Los Angeles Clippers,108,94
10,26,2022,Detroit Pistons,Atlanta Hawks,113,118
10,26,2022,Milwaukee Bucks,Brooklyn Nets,110,99
10,26,2022,New York Knicks,Charlotte Hornets,134,131
10,26,2022,Utah Jazz,Houston Rockets,109,101
10,26,2022,Chicago Bulls,Indiana Pacers,124,109
10,26,2022,Denver Nuggets,Los Angeles Lakers,110,99
10,26,2022,Portland Trailblazers,Miami Heat,98,119
10,26,2022,Cleveland Cavaliers,Orlando Magic,103,92
10,26,2022,Toronto Raptors,Philadelphia 76ers,119,109
10,26,2022,Minnesota Timberwolves,San Antonio Spurs,134,122
10,27,2022,Brooklyn Nets,Dallas Mavericks,125,129
10,27,2022,Oklahoma City Thunder,Los Angeles Clippers,118,110
10,27,2022,Sacramento Kings,Memphis Grizzlies,110,125
10,27,2022,Golden State Warriors,Miami Heat,123,110
10,28,2022,Detroit Pistons,Atlanta Hawks,112,136
10,28,2022,Orlando Magic,Charlotte Hornets,113,93
10,28,2022,San Antonio Spurs,Chicago Bulls,129,124
10,28,2022,Boston Celtics,Cleveland Cavaliers,123,132
10,28,2022,Portland Trailblazers,Houston Rockets,125,111
10,28,2022,Washington Wizards,Indiana Pacers,117,127
10,28,2022,Minnesota Timberwolves,Los Angeles Lakers,111,102
10,28,2022,Phoenix Suns,New Orleans Pelicans,124,111
10,28,2022,Milwaukee Bucks,New York Knicks,119,108
10,28,2022,Toronto Raptors,Philadelphia 76ers,90,112
10,28,2022,Denver Nuggets,Utah Jazz,117,101
10,29,2022,Milwaukee Bucks,Atlanta Hawks,123,115
10,29,2022,Charlotte Hornets,Golden State Warriors,120,113
10,29,2022,Brooklyn Nets,Indiana Pacers,116,125
10,29,2022,Utah Jazz,Memphis Grizzlies,124,123
10,29,2022,Sacramento Kings,Miami Heat,119,113
10,29,2022,Dallas Mavericks,Oklahoma City Thunder,111,117
10,29,2022,Chicago Bulls,Philadelphia 76ers,109,114
10,30,2022,Los Angeles Lakers,Denver Nuggets,121,110
10,30,2022,Detroit Pistons,Golden State Warriors,128,114
10,30,2022,Phoenix Suns,Houston Rockets,124,109
10,30,2022,San Antonio Spurs,Minnesota Timberwolves,107,98
10,30,2022,Los Angeles Clippers,New Orleans Pelicans,91,112
10,30,2022,Cleveland Cavaliers,New York Knicks,121,108
10,30,2022,Dallas Mavericks,Orlando Magic,114,105
10,30,2022,Boston Celtics,Washington Wizards,112,94
10,31,2022,Toronto Raptors,Atlanta Hawks,139,109
10,31,2022,Milwaukee Bucks,Detroit Pistons,110,108
10,31,2022,Los Angeles Clippers,Houston Rockets,95,93
10,31,2022,Brooklyn Nets,Indiana Pacers,116,109
10,31,2022,Utah Jazz,Memphis Grizzlies,121,105
10,31,2022,Washington Wizards,Philadelphia 76ers,111,118
10,31,2022,Charlotte Hornets,Sacramento Kings,108,115
11,1,2022,Brooklyn Nets,Chicago Bulls,99,108
11,1,2022,Miami Heat,Golden State Warriors,116,109
11,1,2022,Phoenix Suns,Minnesota Timberwolves,116,107
11,1,2022,Oklahoma City Thunder,Orlando Magic,116,108
11,2,2022,New York Knicks,Atlanta Hawks,99,112
11,2,2022,Cleveland Cavaliers,Boston Celtics,114,113
11,2,2022,Chicago Bulls,Charlotte Hornets,106,88
11,2,2022,Milwaukee Bucks,Detroit Pistons,116,91
11,2,2022,Houston Rockets,Los Angeles Clippers,101,109
11,2,2022,Portland Trailblazers,Memphis Grizzlies,106,111
11,2,2022,Los Angeles Lakers,New Orleans Pelicans,120,117
11,2,2022,Miami Heat,Sacramento Kings,110,107
11,2,2022,San Antonio Spurs,Toronto Raptors,100,143
11,2,2022,Dallas Mavericks,Utah Jazz,103,100
11,2,2022,Philadelphia 76ers,Washington Wizards,111,121
11,3,2022,Oklahoma City Thunder,Denver Nuggets,110,122
11,3,2022,Orlando Magic,Golden State Warriors,130,129
11,4,2022,Washington Wizards,Brooklyn Nets,86,128
11,4,2022,Memphis Grizzlies,Charlotte Hornets,130,99
11,4,2022,Boston Celtics,Chicago Bulls,123,119
11,4,2022,Detroit Pistons,Cleveland Cavaliers,88,112
