season,home_team,away_team,home_score,away_score,location
2018,Syracuse,Cornell,77,45,1
2018,Virginia Tech,Detroit Mercy,111,79,1
2018,Clemson,Western Carolina,85,57,1
2018,Miami-FL,Gardner-Webb,77,45,1
2018,Gonzaga,TX-Southern,97,69,1
2018,Tennessee,Presbyterian,88,53,1
2018,Mississippi St,Alabama St,96,68,1
2018,Ole Miss,Louisiana,94,76,1
2018,Kentucky,Utah Valley St,73,63,1
2018,Georgia,Bryant,79,54,1
2018,Auburn,Norfolk St,102,74,1
2018,Vanderbilt,Austin Peay,73,54,1
2018,TX-Rio Grande,Nicholls St,106,111,1
2018,Davidson,Charleston Southern,110,62,1
2018,Dayton,Ball St,78,77,1
2018,George Mason,Lafayette,67,65,1
2018,George Washington,Howard,84,75,1
2018,VCU,Grambling St,94,65,1
2018,St Louis,Seattle,62,46,1
2018,Richmond,Delaware,63,76,1
2018,UMass,MA-Lowell,74,69,1
2018,Troy,North Dakota,80,83,0
2018,Sacred Heart,Holy Cross,64,69,1
2018,Hofstra,Army,77,74,1
2018,Old Dominion,Towson,57,54,1
2018,Cincinnati,Savannah St,107,77,1
2018,Tulsa,Lamar,67,74,1
2018,Baylor,Central Arkansas,107,66,1
2018,Penn St,Campbell,86,75,1
2018,West Virginia,Texas A&M,65,88,0
2018,Memphis,Alabama,70,82,0
2018,Seton Hall,Fairleigh Dickinson,90,68,1
2018,North Carolina,Northern Iowa,86,69,1
2018,North Carolina St,VMI,102,67,1
2018,Duke,Elon,97,68,1
2018,Indiana,Indiana St,69,90,1
2018,Ohio St,Robert Morris,95,64,1
2018,Wisconsin,South Carolina St,85,50,1
2018,Stony Brook,Maryland,61,76,0
2018,Virginia,NC-Greensboro,60,48,1
2018,UConn,Colgate,70,58,1
2018,Tulane,LIU-Brooklyn,102,96,1
2018,Stanford,Cal Poly,78,62,1
2018,Butler,Kennesaw St,82,64,1
2018,St Johns,New Orleans,77,61,1
2018,Xavier,Morehead St,101,49,1
