team,seed,region
Virginia,1,South
UMBC,16,South
Creighton,8,South
Kansas St,9,South
Kentucky,5,South
Davidson,12,South
Arizona,4,South
Buffalo,13,South
Miami-FL,6,South
Loyola-Chicago,11,South
Tennessee,3,South
Wright St,14,South
Nevada,7,South
Texas,10,South
Cincinnati,2,South
Georgia St,15,South
Xavier,1,West
TX-Southern,16,West
Missouri,8,West
Florida St,9,West
Ohio St,5,West
South Dakota St,12,West
Gonzaga,4,West
NC-Greensboro,13,West
Houston,6,West
San Diego St,11,West
Michigan,3,West
Montana,14,West
Texas A&M,7,West
Providence,10,West
North Carolina,2,West
Lipscomb,15,West
Villanova,1,East
Radford,16,East
Virginia Tech,8,East
Alabama,9,East
West Virginia,5,East
Murray St,12,East
Wichita St,4,East
Marshall,13,East
Florida,6,East
St Bonaventure,11,East
Texas Tech,3,East
Stephen F Austin,14,East
Arkansas,7,East
Butler,10,East
Purdue,2,East
Cal St-Fullerton,15,East
Kansas,1,Midwest
Pennsylvania,16,Midwest
Seton Hall,8,Midwest
North Carolina St,9,Midwest
Clemson,5,Midwest
New Mexico St,12,Midwest
Auburn,4,Midwest
Coll of Charleston,13,Midwest
TCU,6,Midwest
Syracuse,11,Midwest
Michigan St,3,Midwest
Bucknell,14,Midwest
Rhode Island,7,Midwest
Oklahoma,10,Midwest
Duke,2,Midwest
Iona,15,Midwest
